Date,Adj Close,Close,High,Low,Open,Volume
2013-12-10,427.5,427.5,427.5,427.5,427.5,1397.0
2013-12-11,431.25,431.25,431.25,431.25,431.25,3136.0
2013-12-12,428.25,428.25,428.25,428.25,428.25,1779.0
2013-12-13,420.5,420.5,420.5,420.5,420.5,1677.0
2013-12-16,423.25,423.25,425.25,420.75,422.0,106098.0
2013-12-17,426.75,426.75,428.75,422.75,424.0,114420.0
2013-12-18,425.0,425.0,429.75,423.5,426.5,89620.0
2013-12-19,430.5,430.5,430.75,426.0,426.0,81535.0
2013-12-20,433.25,433.25,434.0,429.0,430.0,99370.0
2013-12-23,434.25,434.25,435.75,433.0,433.5,92615.0
2013-12-26,426.25,426.25,433.0,426.0,433.0,28452.0
2013-12-27,427.5,427.5,428.5,426.0,428.5,72950.0
2013-12-30,423.5,423.5,425.25,423.25,425.0,52403.0
2013-12-31,422.0,422.0,423.25,421.0,423.0,60441.0
2014-01-02,420.5,420.5,426.0,418.5,422.5,77092.0
2014-01-03,423.5,423.5,424.0,417.0,421.0,136284.0
2014-01-06,427.75,427.75,428.0,424.25,426.0,110192.0
2014-01-07,426.0,426.0,430.0,425.25,427.5,96635.0
2014-01-08,417.0,417.0,426.5,414.0,426.0,124441.0
2014-01-09,412.0,412.0,414.75,408.5,414.75,221233.0
2014-01-10,432.75,432.75,433.0,408.0,410.5,228114.0
2014-01-13,434.5,434.5,434.75,431.0,433.5,365581.0
2014-01-14,431.5,431.5,432.75,427.75,431.25,219138.0
2014-01-15,425.75,425.75,429.0,425.5,429.0,156818.0
2014-01-16,428.0,428.0,429.75,425.5,428.5,118783.0
2014-01-17,424.0,424.0,426.5,422.5,425.5,131695.0
2014-01-21,425.0,425.0,425.75,421.5,422.5,95493.0
2014-01-22,426.25,426.25,427.5,425.75,427.25,134010.0
2014-01-23,429.0,429.0,431.0,428.25,428.5,114794.0
2014-01-24,429.5,429.5,430.0,425.75,426.5,157783.0
2014-01-27,431.75,431.75,432.5,427.75,429.0,126819.0
2014-01-28,432.0,432.0,433.5,430.75,430.75,132838.0
2014-01-29,427.5,427.5,431.0,427.0,430.5,118856.0
2014-01-30,433.5,433.5,434.25,430.0,431.0,147425.0
2014-01-31,434.0,434.0,434.75,431.25,432.0,174534.0
2014-02-03,435.75,435.75,438.5,435.25,436.75,135050.0
2014-02-04,441.75,441.75,442.0,437.75,438.25,167839.0
2014-02-05,443.25,443.25,444.0,439.75,440.5,179800.0
2014-02-06,443.0,443.0,447.0,442.0,445.75,169908.0
2014-02-07,444.25,444.25,444.75,441.25,442.0,191086.0
2014-02-10,443.0,443.0,448.75,441.0,442.5,171623.0
2014-02-11,441.5,441.5,442.75,437.5,442.5,252408.0
2014-02-12,440.0,440.0,445.0,439.25,440.0,221223.0
2014-02-13,440.5,440.5,441.75,439.25,441.0,209920.0
2014-02-14,445.25,445.25,446.0,438.5,442.75,174150.0
2014-02-18,449.5,449.5,450.0,445.75,446.5,177419.0
2014-02-19,453.75,453.75,455.25,448.75,449.75,140683.0
2014-02-20,455.75,455.75,456.5,451.5,452.0,243325.0
2014-02-21,453.0,453.0,454.75,451.5,453.75,191961.0
2014-02-24,451.5,451.5,452.0,446.5,449.0,145576.0
2014-02-25,455.75,455.75,456.0,448.75,452.0,141751.0
2014-02-26,455.5,455.5,458.75,452.0,455.0,123589.0
2014-02-27,448.0,448.0,456.5,447.5,453.5,113291.0
2014-02-28,457.5,457.5,458.0,450.0,450.0,140676.0
2014-03-03,464.0,464.0,470.5,459.5,466.5,36979.0
2014-03-04,476.75,476.75,476.75,463.25,463.25,20819.0
2014-03-05,475.25,475.25,476.25,475.25,475.25,10937.0
2014-03-06,485.75,485.75,486.25,479.25,479.25,6726.0
2014-03-07,481.0,481.0,481.0,481.0,481.0,4262.0
2014-03-10,472.0,472.0,479.25,473.0,479.25,7131.0
2014-03-11,478.0,478.0,478.0,470.0,472.0,1561.0
2014-03-12,484.25,484.25,484.25,482.0,482.0,1325.0
2014-03-13,484.25,484.25,484.25,483.25,483.25,1037.0
2014-03-14,472.25,472.25,472.25,472.25,472.25,1123.0
2014-03-17,479.0,479.0,483.5,477.75,479.0,109124.0
2014-03-18,486.25,486.25,486.75,481.0,481.5,85187.0
2014-03-19,487.75,487.75,491.0,483.25,485.5,90577.0
2014-03-20,478.5,478.5,486.5,478.25,485.75,113870.0
2014-03-21,479.0,479.0,480.75,476.25,478.0,102863.0
2014-03-24,490.0,490.0,490.75,483.75,484.0,86237.0
2014-03-25,486.5,486.5,489.25,485.5,487.75,110121.0
2014-03-26,484.5,484.5,486.75,482.75,484.0,84748.0
2014-03-27,492.0,492.0,492.5,485.75,486.0,79966.0
2014-03-28,492.0,492.0,495.5,489.75,491.0,132271.0
2014-03-31,502.0,502.0,503.25,475.0,486.25,118113.0
2014-04-01,507.5,507.5,510.75,505.5,505.5,283223.0
2014-04-02,495.75,495.75,506.0,492.25,505.0,172036.0
2014-04-03,500.0,500.0,500.75,494.5,499.0,159001.0
2014-04-04,501.75,501.75,502.25,494.0,496.75,107969.0
2014-04-07,499.25,499.25,500.25,494.75,500.25,102928.0
2014-04-08,507.0,507.0,507.75,497.25,498.0,156859.0
2014-04-09,502.25,502.25,517.0,502.25,507.75,131388.0
2014-04-10,501.25,501.25,502.0,494.5,500.5,266121.0
2014-04-11,498.5,498.5,503.75,497.75,500.75,152750.0
2014-04-14,503.0,503.0,506.75,498.0,502.0,147245.0
2014-04-15,503.75,503.75,506.25,498.0,499.75,113216.0
2014-04-16,497.5,497.5,504.0,497.0,504.0,134416.0
2014-04-17,494.75,494.75,498.25,493.0,498.25,103705.0
2014-04-21,488.5,488.5,491.25,485.75,490.75,102322.0
2014-04-22,496.25,496.25,498.75,491.0,492.5,115411.0
2014-04-23,503.5,503.5,504.0,496.5,496.5,162634.0
2014-04-24,501.25,501.25,506.5,500.25,506.5,107481.0
2014-04-25,507.0,507.0,510.5,503.5,506.0,111415.0
2014-04-28,507.75,507.75,511.25,505.75,510.25,90449.0
2014-04-29,515.75,515.75,516.0,511.0,512.25,99351.0
2014-04-30,514.0,514.0,514.25,509.5,511.5,87219.0
2014-05-01,503.25,503.25,511.25,503.0,511.25,30696.0
2014-05-02,494.0,494.0,503.0,493.5,503.0,18177.0
2014-05-05,503.25,503.25,503.75,503.0,503.25,15131.0
2014-05-06,513.0,513.0,513.0,513.0,513.0,3527.0
2014-05-07,510.25,510.25,511.0,510.25,510.5,4147.0
2014-05-08,513.25,513.25,513.75,513.75,513.75,2555.0
2014-05-09,505.0,505.0,508.25,505.0,508.25,1655.0
2014-05-12,497.5,497.5,498.25,497.25,498.0,2068.0
2014-05-13,503.25,503.25,503.25,503.25,503.25,2325.0
2014-05-14,494.75,494.75,494.75,494.75,494.75,2036.0
2014-05-15,484.25,484.25,493.5,482.25,493.5,105785.0
2014-05-16,483.5,483.5,484.5,480.75,483.5,138763.0
2014-05-19,477.25,477.25,482.0,476.75,481.0,92663.0
2014-05-20,473.5,473.5,480.0,473.25,479.75,119746.0
2014-05-21,474.5,474.5,475.5,473.25,473.5,113173.0
2014-05-22,476.75,476.75,482.0,474.75,481.5,96480.0
2014-05-23,478.0,478.0,479.75,475.5,479.0,110932.0
2014-05-27,469.75,469.75,473.25,469.25,472.25,85635.0
2014-05-28,472.5,472.5,473.0,467.0,468.0,101114.0
2014-05-29,469.5,469.5,471.0,467.75,471.0,102757.0
2014-05-30,465.75,465.75,471.75,465.0,471.5,131247.0
2014-06-02,465.5,465.5,470.0,461.75,462.0,128747.0
2014-06-03,458.25,458.25,463.0,457.25,462.0,160531.0
2014-06-04,456.25,456.25,459.5,455.0,459.5,118132.0
2014-06-05,449.0,449.0,457.0,448.75,456.75,93357.0
2014-06-06,459.0,459.0,459.5,449.5,449.5,113818.0
2014-06-09,451.0,451.0,453.5,445.5,453.25,163777.0
2014-06-10,445.5,445.5,452.0,445.0,452.0,158202.0
2014-06-11,441.0,441.0,449.0,439.75,447.0,142517.0
2014-06-12,444.0,444.0,444.75,440.0,441.5,185493.0
2014-06-13,447.0,447.0,449.0,444.25,447.75,157865.0
2014-06-16,441.0,441.0,449.0,440.5,449.0,127960.0
2014-06-17,438.75,438.75,440.25,436.0,439.5,128964.0
2014-06-18,441.5,441.5,443.0,440.5,441.5,109891.0
2014-06-19,450.5,450.5,450.75,444.5,444.5,95337.0
